abalienatio_N	-0.757
abalienatus_ADJ	-0.702
abdicatiuus_ADJ	-0.808
abductio_N	-0.244
abecedarium_N	0.047
aberratio_N	-0.4105
abhorridus_ADJ	-0.8
abiectus_ADJ	-0.742
abiegneus_ADJ	0.432
abiegnius_ADJ	0.432
abiegnus_ADJ	0.432
abies_N	-0.039
abitus_N	0.141
abjectio_N	-0.8
abjectus_ADJ	-0.194
abjudicatiuus_ADJ	-0.808
ablatio_N	0.056
ablegatio_N	-0.5
ablepsia_N	-0.707
abluuio_N	-0.85
abnegatio_N	-0.738
abnegatiuus_ADJ	-0.808
abnegator_N	-0.4
abnormalis_ADJ	-1
abnormis_ADJ	-0.8
abnuitio_N	-0.66
abnutiuum_N	-0.7
abnutiuus_ADJ	-0.808
abolitio_N	1
abolla_N	-0.027
abominabilis_ADJ	-1
abominamentum_N	-0.897
abominandus_ADJ	-1
abominatio_N	-0.83
aborigineus_ADJ	0.068
aborsus_ADJ	-0.193
abortio_N	-0.193
abortium_N	-0.193
abortum_N	-0.193
abortus_N	-0.193
abrelictus_ADJ	-0.7
abrogatio_N	-0.511
abruptio_N	-1
abruptus_ADJ	-0.6635
abscessio_N	-0.034
abscessus_N	-0.144
abscisus_ADJ	-0.697
absconditum_N	-0.238
absconsio_N	0.712
absens_ADJ	-0.366
absentia_N	-0.727
absida_N	0
absimilis_ADJ	-1
absis_N	0
absistus_ADJ	-0.363
absolutio_N	1
absolutus_ADJ	0.645
absonia_N	-1
absonus_ADJ	-1
absortio_N	-0.552
abstantia_N	-0.112
abstemia_N	-0.112
abstemius_ADJ	0.733
abstractio_N	-0.034
abstractus_ADJ	-0.034
absurditas_N	-0.85
absurdus_ADJ	-0.92
absus_N	0
abundantia_N	0.701
abundatio_N	0.701
abundus_ADJ	0.2
abusus_N	-0.8
abyssus_ADJ	0.125
abyssus_N	-1
academicus_ADJ	0.2
acalephe_N	-0.868
acarus_N	-0.284
accantus_N	0
accentiuncula_N	0
accentus_N	0
accepta_N	0.056
acceptabilis_ADJ	0.8
acceptatus_ADJ	0.8
acceptio_N	0.1405
acceptor_N	0.128
